# Leather Helmets
Leather Helmet, ANY, 90, 95, LEATHER, HELMET
Cyber Helmet, ANY, 90, 75, LEATHER, HELMET

# Leather Breastplates
Leather Tunic, ANY, 90, 95, LEATHER, BREASTPLATE
Cyber Tunic, ANY, 90, 75, LEATHER, BREASTPLATE

# Leather Grieves
Leather Trousers, ANY, 90, 95, LEATHER, GRIEVES
Cyber Trousers, ANY, 90, 75, LEATHER, GRIEVES

# Chain Helmets
Chain Helmet, ANY, 85, 85, CHAIN, HELMET

# Chain Breastplates
Chain Tunic, ANY, 85, 85, CHAIN, BREASTPLATE

# Chain Grieves
Chain Trouser, ANY, 85, 85, CHAIN, GRIEVES
# Plate Helmets

# Plate Breastplates

# Plate Grieves

# Helmets
Bare Head, ANY, 100, 100, NONE, HELMET
Stone Head, ANY, 80, 80, PLATE, HELMET
Magic Helmet, MAGE, 70, 70, LEATHER, HELMET
Scale Helmet, ANY, 65,65, PLATE, HELMET
Helmet Of King, ANY, 50, 50, PLATE, HELMET

# Breastplates
Bare Chest, ANY, 100, 100, NONE, BREASTPLATE
Stone Chest, ANY, 80, 80, PLATE, BREASTPLATE
Magic Chest, MAGE, 70, 70, LEATHER, BREASTPLATE
Scale Chest, ANY, 65,65, PLATE, BREASTPLATE
Coat, ANY, 50, 50, LEATHER, BREASTPLATE
Breastplate Of King, ANY, 50, 50, PLATE, BREASTPLATE

# Grieves
Bare Legs, ANY, 100, 100, NONE, GRIEVES
Stone Legs, ANY, 80, 80, PLATE, GRIEVES
Magic Legs, MAGE, 70, 70, LEATHER, GRIEVES
Scale Legs, ANY, 65,65, PLATE, GRIEVES
Suit Pants, ANY, 50, 50, LEATHER, GRIEVES
Grieve Of King, ANY, 50, 50, PLATE, GRIEVES
